"","countrycode","ranking","na","economy","us.dollars","","na","na","na","na","iso3.countrycode"
"196","","",NA,"","","",NA,NA,NA,NA,NA
"201","CUW","",NA,"Curaçao","..","",NA,NA,NA,NA,NA
"221","","",NA,"","","",NA,NA,NA,NA,NA
"222","WLD","",NA,"World","72,440,449","",NA,NA,NA,NA,NA
"223","","",NA,"","","",NA,NA,NA,NA,NA
"224","LIC","",NA,"Low income","504,431","",NA,NA,NA,NA,NA
"225","MIC","",NA,"Middle income","22,249,909","",NA,NA,NA,NA,NA
"226","LMC","",NA,"  Lower middle income","4,823,811","",NA,NA,NA,NA,NA
"227","UMC","",NA,"  Upper middle income","17,426,690","",NA,NA,NA,NA,NA
"228","LMY","",NA,"Low & middle income","22,769,282","",NA,NA,NA,NA,NA
"229","EAP","",NA,"  East Asia & Pacific","10,329,684","",NA,NA,NA,NA,NA
"230","ECA","",NA,"  Europe & Central Asia","1,887,950","",NA,NA,NA,NA,NA
"231","LAC","",NA,"  Latin America & Caribbean","5,344,028","",NA,NA,NA,NA,NA
"232","MNA","",NA,"  Middle East & North Africa","1,540,807","",NA,NA,NA,NA,NA
"233","SAS","",NA,"  South Asia","2,286,093","",NA,NA,NA,NA,NA
"235","HIC","",NA,"High income","49,717,634","",NA,NA,NA,NA,NA
"236","EMU","",NA,"  Euro area","12,192,344","",NA,NA,NA,NA,NA
"237","","",NA,"","","",NA,NA,NA,NA,NA
"238","",".. Not available.  ",NA,"","","",NA,NA,NA,NA,NA
"239","","Note: Rankings include only those economies with confirmed GDP estimates. Figures in italics are for 2011 or 2010.",NA,"","","",NA,NA,NA,NA,NA
"240","","a. Includes Former Spanish Sahara.  b. Excludes South Sudan  c. Covers mainland Tanzania only. d. Data are for the area ",NA,"","","",NA,NA,NA,NA,NA
"241","","controlled by the government of the Republic of Cyprus.   e. Excludes Abkhazia and South Ossetia.  f. Excludes Transnistria.",NA,"","","",NA,NA,NA,NA,NA
"242","","",NA,"","","",NA,NA,NA,NA,NA
"243","","",NA,"","","",NA,NA,NA,NA,NA
"244","","",NA,"","","",NA,NA,NA,NA,NA
"245","","",NA,"","","",NA,NA,NA,NA,NA
"246","","",NA,"","","",NA,NA,NA,NA,NA
"247","","",NA,"","","",NA,NA,NA,NA,NA
"248","","",NA,"","","",NA,NA,NA,NA,NA
"249","","",NA,"","","",NA,NA,NA,NA,NA
"250","","",NA,"","","",NA,NA,NA,NA,NA
"251","","",NA,"","","",NA,NA,NA,NA,NA
"252","","",NA,"","","",NA,NA,NA,NA,NA
"253","","",NA,"","","",NA,NA,NA,NA,NA
"254","","",NA,"","","",NA,NA,NA,NA,NA
"255","","",NA,"","","",NA,NA,NA,NA,NA
"256","","",NA,"","","",NA,NA,NA,NA,NA
"257","","",NA,"","","",NA,NA,NA,NA,NA
"258","","",NA,"","","",NA,NA,NA,NA,NA
"259","","",NA,"","","",NA,NA,NA,NA,NA
"260","","",NA,"","","",NA,NA,NA,NA,NA
"261","","",NA,"","","",NA,NA,NA,NA,NA
"262","","",NA,"","","",NA,NA,NA,NA,NA
"263","","",NA,"","","",NA,NA,NA,NA,NA
"264","","",NA,"","","",NA,NA,NA,NA,NA
"265","","",NA,"","","",NA,NA,NA,NA,NA
"266","","",NA,"","","",NA,NA,NA,NA,NA
"267","","",NA,"","","",NA,NA,NA,NA,NA
"268","","",NA,"","","",NA,NA,NA,NA,NA
"269","","",NA,"","","",NA,NA,NA,NA,NA
"270","","",NA,"","","",NA,NA,NA,NA,NA
"271","","",NA,"","","",NA,NA,NA,NA,NA
"272","","",NA,"","","",NA,NA,NA,NA,NA
"273","","",NA,"","","",NA,NA,NA,NA,NA
"274","","",NA,"","","",NA,NA,NA,NA,NA
"275","","",NA,"","","",NA,NA,NA,NA,NA
"276","","",NA,"","","",NA,NA,NA,NA,NA
"277","","",NA,"","","",NA,NA,NA,NA,NA
"278","","",NA,"","","",NA,NA,NA,NA,NA
"279","","",NA,"","","",NA,NA,NA,NA,NA
"280","","",NA,"","","",NA,NA,NA,NA,NA
"281","","",NA,"","","",NA,NA,NA,NA,NA
"282","","",NA,"","","",NA,NA,NA,NA,NA
"283","","",NA,"","","",NA,NA,NA,NA,NA
"284","","",NA,"","","",NA,NA,NA,NA,NA
"285","","",NA,"","","",NA,NA,NA,NA,NA
"286","","",NA,"","","",NA,NA,NA,NA,NA
"287","","",NA,"","","",NA,NA,NA,NA,NA
"288","","",NA,"","","",NA,NA,NA,NA,NA
"289","","",NA,"","","",NA,NA,NA,NA,NA
"290","","",NA,"","","",NA,NA,NA,NA,NA
"291","","",NA,"","","",NA,NA,NA,NA,NA
"292","","",NA,"","","",NA,NA,NA,NA,NA
"293","","",NA,"","","",NA,NA,NA,NA,NA
"294","","",NA,"","","",NA,NA,NA,NA,NA
"295","","",NA,"","","",NA,NA,NA,NA,NA
"296","","",NA,"","","",NA,NA,NA,NA,NA
"297","","",NA,"","","",NA,NA,NA,NA,NA
"298","","",NA,"","","",NA,NA,NA,NA,NA
"299","","",NA,"","","",NA,NA,NA,NA,NA
"300","","",NA,"","","",NA,NA,NA,NA,NA
"301","","",NA,"","","",NA,NA,NA,NA,NA
"302","","",NA,"","","",NA,NA,NA,NA,NA
"303","","",NA,"","","",NA,NA,NA,NA,NA
"304","","",NA,"","","",NA,NA,NA,NA,NA
"305","","",NA,"","","",NA,NA,NA,NA,NA
"306","","",NA,"","","",NA,NA,NA,NA,NA
"307","","",NA,"","","",NA,NA,NA,NA,NA
"308","","",NA,"","","",NA,NA,NA,NA,NA
"309","","",NA,"","","",NA,NA,NA,NA,NA
"310","","",NA,"","","",NA,NA,NA,NA,NA
"311","","",NA,"","","",NA,NA,NA,NA,NA
"312","","",NA,"","","",NA,NA,NA,NA,NA
"313","","",NA,"","","",NA,NA,NA,NA,NA
"314","","",NA,"","","",NA,NA,NA,NA,NA
"315","","",NA,"","","",NA,NA,NA,NA,NA
"316","","",NA,"","","",NA,NA,NA,NA,NA
"317","","",NA,"","","",NA,NA,NA,NA,NA
"318","","",NA,"","","",NA,NA,NA,NA,NA
"319","","",NA,"","","",NA,NA,NA,NA,NA
"320","","",NA,"","","",NA,NA,NA,NA,NA
"321","","",NA,"","","",NA,NA,NA,NA,NA
"322","","",NA,"","","",NA,NA,NA,NA,NA
"323","","",NA,"","","",NA,NA,NA,NA,NA
"324","","",NA,"","","",NA,NA,NA,NA,NA
"325","","",NA,"","","",NA,NA,NA,NA,NA
"326","","",NA,"","","",NA,NA,NA,NA,NA
"327","","",NA,"","","",NA,NA,NA,NA,NA
"328","","",NA,"","","",NA,NA,NA,NA,NA
"329","","",NA,"","","",NA,NA,NA,NA,NA
"330","","",NA,"","","",NA,NA,NA,NA,NA
"331","","",NA,"","","",NA,NA,NA,NA,NA
